prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16384,87.393
0,0,1,16384,86.14599999999999
0,0,1,16384,86.56
0,0,4,256,18.622999999999998
0,0,4,256,18.689
0,0,4,256,18.848999999999997
0,0,4,256,18.912
0,0,4,256,18.784999999999997
0,0,4,256,18.721
0,0,4,256,18.847
0,0,4,256,18.784
0,0,4,256,18.817
0,0,4,256,18.657
0,0,4,256,18.848999999999997
0,0,4,256,18.848
0,0,4,256,18.623999999999995
0,0,4,256,18.815
0,0,4,256,18.913000000000004
0,0,4,256,18.751999999999995
0,0,4,256,18.942999999999998
0,0,4,256,18.656000000000002
0,0,4,256,18.751999999999995
0,0,4,256,18.721999999999998
0,0,4,256,18.881
0,0,4,256,18.688000000000002
0,0,4,256,18.976
0,0,4,256,18.687
0,0,4,256,18.912
0,0,4,256,18.752000000000002
0,0,4,256,18.976
0,0,4,256,18.654000000000003
0,0,4,256,18.974
0,0,4,256,18.879999999999995
0,0,4,256,18.753
0,0,4,256,18.880000000000003
0,0,4,256,18.784
0,0,4,256,18.814999999999998
0,0,4,256,18.976999999999997
0,0,4,256,18.688000000000002
0,0,4,256,18.433
0,0,4,256,18.976
0,0,4,256,18.623999999999995
0,0,4,256,18.784
0,0,4,256,18.655
0,0,4,256,18.816
0,0,4,256,18.72
0,0,4,256,18.944000000000003
0,0,4,256,18.849
0,0,4,256,18.848
0,0,4,256,18.687
0,0,4,256,18.848
0,0,4,256,18.656999999999996
0,0,4,256,18.848999999999997
0,0,4,256,18.624000000000002
0,0,4,256,18.782999999999998
0,0,4,256,18.75
0,0,4,256,18.848999999999997
0,0,4,256,18.753
0,0,4,256,18.914
0,0,4,256,18.784999999999997
0,0,4,256,18.72
0,0,4,256,18.847
0,0,4,256,18.686
0,0,4,256,18.751999999999995
0,0,4,256,18.975
0,0,4,256,19.070999999999998
0,0,4,256,18.751999999999995
0,0,4,256,18.819000000000003
0,0,4,256,18.784
0,0,4,256,18.657
0,0,4,256,18.817
0,0,4,256,18.815999999999995
0,0,4,256,18.912
0,0,4,256,18.752000000000002
0,0,4,256,18.72
0,0,4,256,18.656
0,0,4,256,18.848
0,0,4,256,19.006999999999998
0,0,4,256,18.529000000000003
0,0,4,256,18.976
0,0,4,256,18.784
0,0,4,256,18.879999999999995
0,0,4,256,18.816000000000003
0,0,4,256,18.912999999999997
0,0,4,256,19.008000000000003
0,0,4,256,18.751999999999995
0,0,4,256,18.784
0,0,4,256,18.912999999999997
0,0,4,256,18.689
0,0,4,256,18.848
0,0,4,256,18.976999999999997
0,0,4,256,18.784
0,0,4,256,18.974999999999998
0,0,4,256,18.784999999999997
0,0,4,256,18.753
0,0,4,256,19.007999999999996
0,0,4,256,18.593
0,0,4,256,18.848
0,0,4,256,18.752000000000002
0,0,4,256,18.848
0,0,4,256,18.785
0,0,4,256,19.071999999999996
0,0,4,256,18.687
0,0,4,256,19.104
0,0,4,256,18.814
0,0,4,256,18.848
0,0,4,256,18.848999999999997
0,0,4,256,19.007
0,0,4,256,18.656
0,0,4,256,18.848
0,0,4,256,18.688000000000002
0,0,4,1024,36.32
0,0,4,1024,37.024
0,0,4,1024,37.088
0,0,4,1024,36.894999999999996
0,0,4,1024,37.11899999999999
0,0,4,1024,37.12
0,0,4,1024,37.409000000000006
